DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [31-Mar-2022]	[15:30] BTC $47133.36
StonksBot#2363 [31-Mar-2022]	[15:45] BTC $47168.99
StonksBot#2363 [31-Mar-2022]	[16:00] BTC $47251.71
StonksBot#2363 [31-Mar-2022]	[16:15] BTC $47195.48
StonksBot#2363 [31-Mar-2022]	[16:30] BTC $47145.31
StonksBot#2363 [31-Mar-2022]	[16:45] BTC $47221.30
StonksBot#2363 [31-Mar-2022]	[17:00] BTC $47338.49
StonksBot#2363 [31-Mar-2022]	[17:15] BTC $47281.00
StonksBot#2363 [31-Mar-2022]	[17:30] BTC $47282.02
StonksBot#2363 [31-Mar-2022]	[17:45] BTC $47260.90
StonksBot#2363 [31-Mar-2022]	[18:00] BTC $47268.82
StonksBot#2363 [31-Mar-2022]	[18:15] BTC $47223.39
StonksBot#2363 [31-Mar-2022]	[18:30] BTC $47186.18
StonksBot#2363 [31-Mar-2022]	[18:45] BTC $47090.93
StonksBot#2363 [31-Mar-2022]	[19:00] BTC $47164.31
StonksBot#2363 [31-Mar-2022]	[19:15] BTC $47152.01
StonksBot#2363 [31-Mar-2022]	[19:30] BTC $47303.78
StonksBot#2363 [31-Mar-2022]	[19:45] BTC $47343.32
StonksBot#2363 [31-Mar-2022]	[20:00] BTC $47445.48
StonksBot#2363 [31-Mar-2022]	[20:15] BTC $47249.49
StonksBot#2363 [31-Mar-2022]	[20:30] BTC $47142.59
StonksBot#2363 [31-Mar-2022]	[20:45] BTC $47097.00
StonksBot#2363 [31-Mar-2022]	[21:00] BTC $46891.86
StonksBot#2363 [31-Mar-2022]	[21:15] BTC $46540.91
StonksBot#2363 [31-Mar-2022]	[21:30] BTC $46342.75
StonksBot#2363 [31-Mar-2022]	[21:45] BTC $46475.23
StonksBot#2363 [31-Mar-2022]	[22:00] BTC $46713.61
StonksBot#2363 [31-Mar-2022]	[22:15] BTC $46514.51
StonksBot#2363 [31-Mar-2022]	[22:30] BTC $46519.87
StonksBot#2363 [31-Mar-2022]	[22:45] BTC $46500.01
StonksBot#2363 [31-Mar-2022]	[23:00] BTC $46446.57
StonksBot#2363 [31-Mar-2022]	[23:15] BTC $46279.65
StonksBot#2363 [31-Mar-2022]	[23:30] BTC $45897.66
StonksBot#2363 [31-Mar-2022]	[23:45] BTC $45935.60
StonksBot#2363 [01-Apr-2022]	[0:00] BTC $45765.89
StonksBot#2363 [01-Apr-2022]	[0:15] BTC $45800.52
StonksBot#2363 [01-Apr-2022]	[0:30] BTC $45749.99
StonksBot#2363 [01-Apr-2022]	[0:45] BTC $45814.84
StonksBot#2363 [01-Apr-2022]	[1:00] BTC $45815.60
StonksBot#2363 [01-Apr-2022]	[1:15] BTC $45698.02
StonksBot#2363 [01-Apr-2022]	[1:30] BTC $45826.27
StonksBot#2363 [01-Apr-2022]	[1:45] BTC $45916.00
StonksBot#2363 [01-Apr-2022]	[2:00] BTC $45967.39
StonksBot#2363 [01-Apr-2022]	[2:15] BTC $45844.49
StonksBot#2363 [01-Apr-2022]	[2:30] BTC $45703.05
StonksBot#2363 [01-Apr-2022]	[2:45] BTC $45653.79
StonksBot#2363 [01-Apr-2022]	[3:00] BTC $45596.57
StonksBot#2363 [01-Apr-2022]	[3:15] BTC $45699.74
StonksBot#2363 [01-Apr-2022]	[3:30] BTC $45676.39
StonksBot#2363 [01-Apr-2022]	[3:45] BTC $45727.01
StonksBot#2363 [01-Apr-2022]	[4:00] BTC $45744.50
StonksBot#2363 [01-Apr-2022]	[4:15] BTC $45737.49
StonksBot#2363 [01-Apr-2022]	[4:30] BTC $45837.73
