DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [01-Apr-2022]	[3:00] ETH $3285.77
StonksBot#2363 [01-Apr-2022]	[3:15] ETH $3293.63
StonksBot#2363 [01-Apr-2022]	[3:30] ETH $3292.60
StonksBot#2363 [01-Apr-2022]	[3:45] ETH $3296.50
StonksBot#2363 [01-Apr-2022]	[4:00] ETH $3298.74
StonksBot#2363 [01-Apr-2022]	[4:15] ETH $3297.56
StonksBot#2363 [01-Apr-2022]	[4:30] ETH $3303.51
StonksBot#2363 [01-Apr-2022]	[4:45] ETH $3291.46
StonksBot#2363 [01-Apr-2022]	[5:00] ETH $3286.73
StonksBot#2363 [01-Apr-2022]	[5:15] ETH $3284.03
StonksBot#2363 [01-Apr-2022]	[5:30] ETH $3287.99
StonksBot#2363 [01-Apr-2022]	[5:45] ETH $3275.90
StonksBot#2363 [01-Apr-2022]	[6:00] ETH $3289.73
StonksBot#2363 [01-Apr-2022]	[6:15] ETH $3278.16
StonksBot#2363 [01-Apr-2022]	[6:30] ETH $3290.90
StonksBot#2363 [01-Apr-2022]	[6:45] ETH $3271.32
StonksBot#2363 [01-Apr-2022]	[7:00] ETH $3285.42
StonksBot#2363 [01-Apr-2022]	[7:15] ETH $3294.00
StonksBot#2363 [01-Apr-2022]	[7:30] ETH $3294.15
StonksBot#2363 [01-Apr-2022]	[7:45] ETH $3306.37
StonksBot#2363 [01-Apr-2022]	[8:00] ETH $3299.70
StonksBot#2363 [01-Apr-2022]	[8:15] ETH $3292.11
StonksBot#2363 [01-Apr-2022]	[8:30] ETH $3282.88
StonksBot#2363 [01-Apr-2022]	[8:45] ETH $3281.62
StonksBot#2363 [01-Apr-2022]	[9:00] ETH $3257.08
StonksBot#2363 [01-Apr-2022]	[9:15] ETH $3260.29
StonksBot#2363 [01-Apr-2022]	[9:30] ETH $3237.06
StonksBot#2363 [01-Apr-2022]	[9:45] ETH $3244.35
StonksBot#2363 [01-Apr-2022]	[10:00] ETH $3226.03
StonksBot#2363 [01-Apr-2022]	[10:15] ETH $3225.45
StonksBot#2363 [01-Apr-2022]	[10:30] ETH $3232.05
StonksBot#2363 [01-Apr-2022]	[10:45] ETH $3240.05
StonksBot#2363 [01-Apr-2022]	[11:00] ETH $3248.95
StonksBot#2363 [01-Apr-2022]	[11:15] ETH $3253.30
StonksBot#2363 [01-Apr-2022]	[11:30] ETH $3256.53
StonksBot#2363 [01-Apr-2022]	[11:45] ETH $3254.37
StonksBot#2363 [01-Apr-2022]	[12:00] ETH $3247.36
StonksBot#2363 [01-Apr-2022]	[12:15] ETH $3257.95
StonksBot#2363 [01-Apr-2022]	[12:30] ETH $3253.65
StonksBot#2363 [01-Apr-2022]	[12:45] ETH $3260.44
StonksBot#2363 [01-Apr-2022]	[13:00] ETH $3253.80
StonksBot#2363 [01-Apr-2022]	[13:15] ETH $3247.69
StonksBot#2363 [01-Apr-2022]	[13:30] ETH $3259.22
StonksBot#2363 [01-Apr-2022]	[13:45] ETH $3258.74
StonksBot#2363 [01-Apr-2022]	[14:00] ETH $3263.03
StonksBot#2363 [01-Apr-2022]	[14:15] ETH $3265.93
StonksBot#2363 [01-Apr-2022]	[14:30] ETH $3273.49
StonksBot#2363 [01-Apr-2022]	[14:45] ETH $3272.72
StonksBot#2363 [01-Apr-2022]	[15:00] ETH $3280.74
StonksBot#2363 [01-Apr-2022]	[15:15] ETH $3283.59
StonksBot#2363 [01-Apr-2022]	[15:30] ETH $3294.06
StonksBot#2363 [01-Apr-2022]	[15:45] ETH $3288.51
StonksBot#2363 [01-Apr-2022]	[16:00] ETH $3279.78
StonksBot#2363 [01-Apr-2022]	[16:15] ETH $3277.01
StonksBot#2363 [01-Apr-2022]	[16:30] ETH $3285.59
StonksBot#2363 [01-Apr-2022]	[16:45] ETH $3272.14
StonksBot#2363 [01-Apr-2022]	[17:00] ETH $3274.59
StonksBot#2363 [01-Apr-2022]	[17:15] ETH $3272.53
StonksBot#2363 [01-Apr-2022]	[17:30] ETH $3280.49
StonksBot#2363 [01-Apr-2022]	[17:45] ETH $3271.41
StonksBot#2363 [01-Apr-2022]	[18:00] ETH $3285.51
StonksBot#2363 [01-Apr-2022]	[18:15] ETH $3284.31
StonksBot#2363 [01-Apr-2022]	[18:30] ETH $3300.00
StonksBot#2363 [01-Apr-2022]	[18:45] ETH $3287.00
StonksBot#2363 [01-Apr-2022]	[19:00] ETH $3284.26
StonksBot#2363 [01-Apr-2022]	[19:15] ETH $3276.56
StonksBot#2363 [01-Apr-2022]	[19:30] ETH $3269.59
StonksBot#2363 [01-Apr-2022]	[19:45] ETH $3299.21
StonksBot#2363 [01-Apr-2022]	[20:00] ETH $3314.40
StonksBot#2363 [01-Apr-2022]	[20:15] ETH $3325.00
StonksBot#2363 [01-Apr-2022]	[20:30] ETH $3338.76
StonksBot#2363 [01-Apr-2022]	[20:45] ETH $3358.17
StonksBot#2363 [01-Apr-2022]	[21:00] ETH $3352.05
StonksBot#2363 [01-Apr-2022]	[21:15] ETH $3383.15
StonksBot#2363 [01-Apr-2022]	[21:30] ETH $3390.30
StonksBot#2363 [01-Apr-2022]	[21:45] ETH $3390.89
StonksBot#2363 [01-Apr-2022]	[22:00] ETH $3421.12
StonksBot#2363 [01-Apr-2022]	[22:15] ETH $3429.05
StonksBot#2363 [01-Apr-2022]	[22:30] ETH $3440.99
StonksBot#2363 [01-Apr-2022]	[22:45] ETH $3436.73
StonksBot#2363 [01-Apr-2022]	[23:00] ETH $3433.16
StonksBot#2363 [01-Apr-2022]	[23:15] ETH $3440.00
StonksBot#2363 [01-Apr-2022]	[23:30] ETH $3427.00
StonksBot#2363 [01-Apr-2022]	[23:45] ETH $3428.37
StonksBot#2363 [02-Apr-2022]	[0:00] ETH $3413.62
StonksBot#2363 [02-Apr-2022]	[0:15] ETH $3428.55
StonksBot#2363 [02-Apr-2022]	[0:30] ETH $3438.95
StonksBot#2363 [02-Apr-2022]	[0:45] ETH $3465.10
StonksBot#2363 [02-Apr-2022]	[1:00] ETH $3470.71
StonksBot#2363 [02-Apr-2022]	[1:15] ETH $3466.99
StonksBot#2363 [02-Apr-2022]	[1:30] ETH $3459.99
StonksBot#2363 [02-Apr-2022]	[1:45] ETH $3449.84
StonksBot#2363 [02-Apr-2022]	[2:00] ETH $3464.56
StonksBot#2363 [02-Apr-2022]	[2:15] ETH $3452.57
StonksBot#2363 [02-Apr-2022]	[2:30] ETH $3454.90
StonksBot#2363 [02-Apr-2022]	[2:45] ETH $3452.39
StonksBot#2363 [02-Apr-2022]	[3:00] ETH $3467.54
StonksBot#2363 [02-Apr-2022]	[3:15] ETH $3465.56
StonksBot#2363 [02-Apr-2022]	[3:30] ETH $3453.93
StonksBot#2363 [02-Apr-2022]	[3:45] ETH $3448.29
StonksBot#2363 [02-Apr-2022]	[4:00] ETH $3442.17
StonksBot#2363 [02-Apr-2022]	[4:15] ETH $3459.36
StonksBot#2363 [02-Apr-2022]	[4:30] ETH $3460.35
StonksBot#2363 [02-Apr-2022]	[4:45] ETH $3452.30
StonksBot#2363 [02-Apr-2022]	[5:00] ETH $3454.24
StonksBot#2363 [02-Apr-2022]	[5:15] ETH $3455.00
StonksBot#2363 [02-Apr-2022]	[5:30] ETH $3450.04
StonksBot#2363 [02-Apr-2022]	[5:45] ETH $3437.75
StonksBot#2363 [02-Apr-2022]	[6:00] ETH $3449.72
StonksBot#2363 [02-Apr-2022]	[6:15] ETH $3434.52
StonksBot#2363 [02-Apr-2022]	[6:30] ETH $3433.85
StonksBot#2363 [02-Apr-2022]	[6:45] ETH $3445.00
StonksBot#2363 [02-Apr-2022]	[7:00] ETH $3450.00
StonksBot#2363 [02-Apr-2022]	[7:15] ETH $3441.11
StonksBot#2363 [02-Apr-2022]	[7:30] ETH $3454.12
StonksBot#2363 [02-Apr-2022]	[7:45] ETH $3487.93
StonksBot#2363 [02-Apr-2022]	[8:00] ETH $3513.77
StonksBot#2363 [02-Apr-2022]	[8:15] ETH $3499.01
StonksBot#2363 [02-Apr-2022]	[8:30] ETH $3471.37
StonksBot#2363 [02-Apr-2022]	[8:45] ETH $3476.63
StonksBot#2363 [02-Apr-2022]	[9:00] ETH $3483.06
StonksBot#2363 [02-Apr-2022]	[9:15] ETH $3485.05
StonksBot#2363 [02-Apr-2022]	[9:30] ETH $3490.32
StonksBot#2363 [02-Apr-2022]	[9:45] ETH $3462.26
StonksBot#2363 [02-Apr-2022]	[10:00] ETH $3471.05
StonksBot#2363 [02-Apr-2022]	[10:15] ETH $3460.00
StonksBot#2363 [02-Apr-2022]	[10:30] ETH $3457.98
StonksBot#2363 [02-Apr-2022]	[10:45] ETH $3467.72
StonksBot#2363 [02-Apr-2022]	[11:00] ETH $3474.99
StonksBot#2363 [02-Apr-2022]	[11:15] ETH $3469.89
StonksBot#2363 [02-Apr-2022]	[11:30] ETH $3463.63
StonksBot#2363 [02-Apr-2022]	[11:45] ETH $3483.00
StonksBot#2363 [02-Apr-2022]	[12:00] ETH $3476.55
StonksBot#2363 [02-Apr-2022]	[12:15] ETH $3474.47
StonksBot#2363 [02-Apr-2022]	[12:30] ETH $3477.52
StonksBot#2363 [02-Apr-2022]	[12:45] ETH $3470.69
StonksBot#2363 [02-Apr-2022]	[13:00] ETH $3481.13
StonksBot#2363 [02-Apr-2022]	[13:15] ETH $3479.98
StonksBot#2363 [02-Apr-2022]	[13:30] ETH $3471.73
StonksBot#2363 [02-Apr-2022]	[13:45] ETH $3482.14
StonksBot#2363 [02-Apr-2022]	[14:00] ETH $3487.89
StonksBot#2363 [02-Apr-2022]	[14:15] ETH $3478.98
StonksBot#2363 [02-Apr-2022]	[14:30] ETH $3475.66
StonksBot#2363 [02-Apr-2022]	[14:45] ETH $3479.26
StonksBot#2363 [02-Apr-2022]	[15:00] ETH $3484.64
StonksBot#2363 [02-Apr-2022]	[15:15] ETH $3484.48
StonksBot#2363 [02-Apr-2022]	[15:30] ETH $3481.94
StonksBot#2363 [02-Apr-2022]	[15:45] ETH $3476.00
StonksBot#2363 [02-Apr-2022]	[16:00] ETH $3476.56
StonksBot#2363 [02-Apr-2022]	[16:15] ETH $3476.08
StonksBot#2363 [02-Apr-2022]	[16:30] ETH $3476.00
StonksBot#2363 [02-Apr-2022]	[16:45] ETH $3478.39
StonksBot#2363 [02-Apr-2022]	[17:00] ETH $3494.90
StonksBot#2363 [02-Apr-2022]	[17:15] ETH $3484.52
StonksBot#2363 [02-Apr-2022]	[17:30] ETH $3479.46
StonksBot#2363 [02-Apr-2022]	[17:45] ETH $3486.28
StonksBot#2363 [02-Apr-2022]	[18:00] ETH $3495.50
StonksBot#2363 [02-Apr-2022]	[18:15] ETH $3492.13
StonksBot#2363 [02-Apr-2022]	[18:30] ETH $3488.01
StonksBot#2363 [02-Apr-2022]	[18:45] ETH $3495.98
StonksBot#2363 [02-Apr-2022]	[19:00] ETH $3488.01
StonksBot#2363 [02-Apr-2022]	[19:15] ETH $3495.56
StonksBot#2363 [02-Apr-2022]	[19:30] ETH $3506.73
StonksBot#2363 [02-Apr-2022]	[19:45] ETH $3519.51
StonksBot#2363 [02-Apr-2022]	[20:00] ETH $3507.34
StonksBot#2363 [02-Apr-2022]	[20:15] ETH $3515.89
StonksBot#2363 [02-Apr-2022]	[20:30] ETH $3519.00
StonksBot#2363 [02-Apr-2022]	[20:45] ETH $3513.89
StonksBot#2363 [02-Apr-2022]	[21:00] ETH $3505.59
StonksBot#2363 [02-Apr-2022]	[21:15] ETH $3497.10
StonksBot#2363 [02-Apr-2022]	[21:30] ETH $3498.57
StonksBot#2363 [02-Apr-2022]	[21:45] ETH $3485.38
