DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [01-Apr-2022]	[13:45] BNB $422.00
StonksBot#2363 [01-Apr-2022]	[14:00] BNB $422.50
StonksBot#2363 [01-Apr-2022]	[14:15] BNB $423.70
StonksBot#2363 [01-Apr-2022]	[14:30] BNB $425.70
StonksBot#2363 [01-Apr-2022]	[14:45] BNB $426.50
StonksBot#2363 [01-Apr-2022]	[15:00] BNB $427.80
StonksBot#2363 [01-Apr-2022]	[15:15] BNB $428.60
StonksBot#2363 [01-Apr-2022]	[15:30] BNB $429.70
StonksBot#2363 [01-Apr-2022]	[15:45] BNB $428.70
StonksBot#2363 [01-Apr-2022]	[16:00] BNB $427.60
StonksBot#2363 [01-Apr-2022]	[16:15] BNB $428.70
StonksBot#2363 [01-Apr-2022]	[16:30] BNB $431.10
StonksBot#2363 [01-Apr-2022]	[16:45] BNB $429.10
StonksBot#2363 [01-Apr-2022]	[17:00] BNB $429.70
StonksBot#2363 [01-Apr-2022]	[17:15] BNB $430.60
StonksBot#2363 [01-Apr-2022]	[17:30] BNB $432.20
StonksBot#2363 [01-Apr-2022]	[17:45] BNB $431.30
StonksBot#2363 [01-Apr-2022]	[18:00] BNB $432.40
StonksBot#2363 [01-Apr-2022]	[18:15] BNB $432.40
StonksBot#2363 [01-Apr-2022]	[18:30] BNB $432.40
StonksBot#2363 [01-Apr-2022]	[18:45] BNB $431.90
StonksBot#2363 [01-Apr-2022]	[19:00] BNB $431.10
StonksBot#2363 [01-Apr-2022]	[19:15] BNB $430.70
StonksBot#2363 [01-Apr-2022]	[19:30] BNB $429.10
StonksBot#2363 [01-Apr-2022]	[19:45] BNB $432.70
StonksBot#2363 [01-Apr-2022]	[20:00] BNB $434.20
StonksBot#2363 [01-Apr-2022]	[20:15] BNB $434.50
StonksBot#2363 [01-Apr-2022]	[20:30] BNB $433.30
StonksBot#2363 [01-Apr-2022]	[20:45] BNB $434.50
StonksBot#2363 [01-Apr-2022]	[21:00] BNB $433.30
StonksBot#2363 [01-Apr-2022]	[21:15] BNB $437.50
StonksBot#2363 [01-Apr-2022]	[21:30] BNB $437.40
StonksBot#2363 [01-Apr-2022]	[21:45] BNB $438.30
StonksBot#2363 [01-Apr-2022]	[22:00] BNB $440.20
StonksBot#2363 [01-Apr-2022]	[22:15] BNB $440.10
StonksBot#2363 [01-Apr-2022]	[22:30] BNB $441.90
StonksBot#2363 [01-Apr-2022]	[22:45] BNB $441.70
StonksBot#2363 [01-Apr-2022]	[23:00] BNB $441.20
StonksBot#2363 [01-Apr-2022]	[23:15] BNB $443.10
StonksBot#2363 [01-Apr-2022]	[23:30] BNB $442.80
StonksBot#2363 [01-Apr-2022]	[23:45] BNB $443.80
StonksBot#2363 [02-Apr-2022]	[0:00] BNB $442.70
StonksBot#2363 [02-Apr-2022]	[0:15] BNB $443.50
StonksBot#2363 [02-Apr-2022]	[0:30] BNB $444.50
StonksBot#2363 [02-Apr-2022]	[0:45] BNB $445.90
StonksBot#2363 [02-Apr-2022]	[1:00] BNB $445.10
StonksBot#2363 [02-Apr-2022]	[1:15] BNB $445.00
StonksBot#2363 [02-Apr-2022]	[1:30] BNB $444.50
StonksBot#2363 [02-Apr-2022]	[1:45] BNB $443.90
StonksBot#2363 [02-Apr-2022]	[2:00] BNB $445.20
StonksBot#2363 [02-Apr-2022]	[2:15] BNB $445.60
StonksBot#2363 [02-Apr-2022]	[2:30] BNB $445.00
StonksBot#2363 [02-Apr-2022]	[2:45] BNB $444.30
StonksBot#2363 [02-Apr-2022]	[3:00] BNB $446.20
StonksBot#2363 [02-Apr-2022]	[3:15] BNB $445.80
StonksBot#2363 [02-Apr-2022]	[3:30] BNB $444.60
StonksBot#2363 [02-Apr-2022]	[3:45] BNB $444.30
StonksBot#2363 [02-Apr-2022]	[4:00] BNB $444.70
StonksBot#2363 [02-Apr-2022]	[4:15] BNB $445.70
StonksBot#2363 [02-Apr-2022]	[4:30] BNB $446.10
StonksBot#2363 [02-Apr-2022]	[4:45] BNB $445.00
StonksBot#2363 [02-Apr-2022]	[5:00] BNB $444.40
StonksBot#2363 [02-Apr-2022]	[5:15] BNB $445.40
StonksBot#2363 [02-Apr-2022]	[5:30] BNB $445.60
StonksBot#2363 [02-Apr-2022]	[5:45] BNB $444.60
StonksBot#2363 [02-Apr-2022]	[6:00] BNB $445.00
StonksBot#2363 [02-Apr-2022]	[6:15] BNB $443.80
StonksBot#2363 [02-Apr-2022]	[6:30] BNB $444.50
StonksBot#2363 [02-Apr-2022]	[6:45] BNB $445.80
StonksBot#2363 [02-Apr-2022]	[7:00] BNB $447.30
StonksBot#2363 [02-Apr-2022]	[7:15] BNB $447.10
StonksBot#2363 [02-Apr-2022]	[7:30] BNB $448.40
StonksBot#2363 [02-Apr-2022]	[7:45] BNB $449.90
StonksBot#2363 [02-Apr-2022]	[8:00] BNB $451.90
StonksBot#2363 [02-Apr-2022]	[8:15] BNB $452.50
StonksBot#2363 [02-Apr-2022]	[8:30] BNB $449.80
StonksBot#2363 [02-Apr-2022]	[8:45] BNB $451.30
StonksBot#2363 [02-Apr-2022]	[9:00] BNB $452.50
StonksBot#2363 [02-Apr-2022]	[9:15] BNB $451.50
StonksBot#2363 [02-Apr-2022]	[9:30] BNB $452.00
StonksBot#2363 [02-Apr-2022]	[9:45] BNB $449.80
StonksBot#2363 [02-Apr-2022]	[10:00] BNB $450.80
StonksBot#2363 [02-Apr-2022]	[10:15] BNB $449.00
StonksBot#2363 [02-Apr-2022]	[10:30] BNB $447.60
StonksBot#2363 [02-Apr-2022]	[10:45] BNB $448.80
StonksBot#2363 [02-Apr-2022]	[11:00] BNB $449.60
StonksBot#2363 [02-Apr-2022]	[11:15] BNB $448.60
StonksBot#2363 [02-Apr-2022]	[11:30] BNB $448.80
StonksBot#2363 [02-Apr-2022]	[11:45] BNB $449.60
StonksBot#2363 [02-Apr-2022]	[12:00] BNB $448.40
StonksBot#2363 [02-Apr-2022]	[12:15] BNB $448.80
StonksBot#2363 [02-Apr-2022]	[12:30] BNB $449.50
StonksBot#2363 [02-Apr-2022]	[12:45] BNB $448.90
StonksBot#2363 [02-Apr-2022]	[13:00] BNB $450.50
StonksBot#2363 [02-Apr-2022]	[13:15] BNB $450.60
StonksBot#2363 [02-Apr-2022]	[13:30] BNB $449.50
StonksBot#2363 [02-Apr-2022]	[13:45] BNB $450.30
StonksBot#2363 [02-Apr-2022]	[14:00] BNB $450.30
StonksBot#2363 [02-Apr-2022]	[14:15] BNB $449.70
StonksBot#2363 [02-Apr-2022]	[14:30] BNB $449.10
StonksBot#2363 [02-Apr-2022]	[14:45] BNB $449.70
StonksBot#2363 [02-Apr-2022]	[15:00] BNB $450.20
StonksBot#2363 [02-Apr-2022]	[15:15] BNB $448.90
